id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
3382,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Marketing Suite - University,6CB-DMK-EDU,Package,DMK-EDU,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Shareable,,,,,,Licensed Program
1653,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN (Machine Based),6MP-DTG-N,Machine Based,DTG-N,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1654,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN ,6CP-DTG,Shareable,DTG,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1655,3DEXCITE DELTAGEN,3DEXCITE DELTAVIEW (Machine Based),6MP-DTV-N,Machine Based,DTV-N,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1656,3DEXCITE DELTAGEN,3DEXCITE DELTAVIEW,6CP-DTV,Shareable,DTV,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1657,3DEXCITE DELTAGEN,3DEXCITE DELTABATCH (Machine Based),6MP-DTB-N,Machine Based,DTB-N,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1658,3DEXCITE DELTAGEN,3DEXCITE DELTABATCH,6CP-DTB,Shareable,DTB,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1659,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Wire (Machine Based),6MP-DWI-N,Machine Based,DWI-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1660,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Wire,6CP-DWI,Shareable,DWI,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1661,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Maya (Machine Based),6MP-DMY-N,Machine Based,DMY-N,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1662,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Maya,6CP-DMY,Shareable,DMY,,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1663,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Rhino (Machine Based),6MP-DRH-N,Machine Based,DRH-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1664,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Rhino,6CP-DRH,Shareable,DRH,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1665,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA V4 (Machine Based),6MP-DV4-N,Machine Based,DV4-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1666,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA V4,6CP-DV4,Shareable,DV4,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1667,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA V5 (Machine Based),6MP-DV5-N,Machine Based,DV5-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1668,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA V5,6CP-DV5,Shareable,DV5,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1669,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA Kinematics (Machine Based),6MP-DKN-N,Machine Based,DKN-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1670,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct CATIA Kinematics,6CP-DKN,Shareable,DKN,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1671,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct IGES Import (Machine Based),6MP-DIG-N,Machine Based,DIG-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1672,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct IGES Import,6CP-DIG,Shareable,DIG,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1673,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct STEP (Machine Based),6MP-DEP-N,Machine Based,DEP-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1674,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct STEP,6CP-DEP,Shareable,DEP,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1675,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct SolidWorks (Machine Based),6MP-DSO-N,Machine Based,DSO-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1676,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct SolidWorks,6CP-DSO,Shareable,DSO,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1677,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Pro/E (Machine Based),6MP-DOE-N,Machine Based,DOE-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1678,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct Pro/E,6CP-DOE,Shareable,DOE,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1679,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct NX (Machine Based),6MP-DNX-N,Machine Based,DNX-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1680,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct NX,6CP-DNX,Shareable,DNX,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1681,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct AutoCAD (Machine Based),6MP-DAT-N,Machine Based,DAT-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1682,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct AutoCAD,6CP-DAT,Shareable,DAT,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1683,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct 3DXML Import (Machine Based),6MP-DXM-N,Machine Based,DXM-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1684,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct 3DXML Import,6CP-DXM,Shareable,DXM,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1685,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct ICEM Import (Machine Based),6MP-DII-N,Machine Based,DII-N,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1686,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Direct ICEM Import,6CP-DII,Shareable,DII,6MP-DTG-N or 6CP-DTG or 6MP-DTB-N or 6CP-DTB,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1687,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Analyzer (Machine Based),6MP-DAZ-N,Machine Based,DAZ-N,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1688,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Analyzer,6CP-DAZ,Shareable,DAZ,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1689,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Layercreator (Machine Based),6MP-DLY-N,Machine Based,DLY-N,6MP-DTG-N or 6CP-DTG,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1690,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Layercreator,6CP-DLY,Shareable,DLY,6MP-DTG-N or 6CP-DTG,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1691,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Scale Plus (Machine Based),6MP-DLP-N,Machine Based,DLP-N,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1692,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Scale Plus,6CP-DLP,Shareable,DLP,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1693,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Scale Advanced (Machine Based),6MP-DLA-N,Machine Based,DLA-N,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
1694,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Scale Advanced,6CP-DLA,Shareable,DLA,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Concurrent,,,,,,Licensed Program
1695,3DEXCITE DELTAGEN,3DEXCITE DELTAGEN Scale Unlimited (Machine Based),6MP-DLU-N,Machine Based,DLU-N,6MP-DTG-N or 6CP-DTG or 6MP-DTV-N or 6CP-DTV,PLC/YLC/TBL2/TBL3,Advantage,No,No,Machine Based,,,,,,Licensed Program
